route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color,route_sort_order,continuous_pickup,continuous_drop_off
51,Bilbobus,01,ARANGOITI - PLAZA CIRCULAR,,3,https://www.bilbao.eus/cs/Satellite/bilbobus/es/linea?codLinea=01,,,1,1,1
5,Bilbobus,03,PLAZA CIRCULAR - OTXARKOAGA,,3,https://www.bilbao.eus/cs/Satellite/bilbobus/es/linea?codLinea=03,,,2,1,1
7,Bilbobus,10,ELORRIETA - PLAZA CIRCULAR,,3,https://www.bilbao.eus/cs/Satellite/bilbobus/es/linea?codLinea=10,,,3,1,1
8,Bilbobus,11,DEUSTU - ATXURI,,3,https://www.bilbao.eus/cs/Satellite/bilbobus/es/linea?codLinea=11,,,4,1,1
9,Bilbobus,13,SAN IGNACIO - TXURDINAGA,,3,https://www.bilbao.eus/cs/Satellite/bilbobus/es/linea?codLinea=13,,,5,1,1
10,Bilbobus,18,SAN IGNACIO - ZORROTZA,,3,https://www.bilbao.eus/cs/Satellite/bilbobus/es/linea?codLinea=18,,,6,1,1
11,Bilbobus,22,SARRIKUE - ATXURI,,3,https://www.bilbao.eus/cs/Satellite/bilbobus/es/linea?codLinea=22,,,7,1,1
13,Bilbobus,27,ARABELLA - BETOLATZA,,3,https://www.bilbao.eus/cs/Satellite/bilbobus/es/linea?codLinea=27,,,8,1,1
60,Bilbobus,28,URIBARRI - ALTAMIRA,,3,https://www.bilbao.eus/cs/Satellite/bilbobus/es/linea?codLinea=28,,,9,1,1
14,Bilbobus,30,TXURDINAGA - MIRIBILLA,,3,https://www.bilbao.eus/cs/Satellite/bilbobus/es/linea?codLinea=30,,,10,1,1
15,Bilbobus,34,OTXARKOAGA - SANTUTXU,,3,https://www.bilbao.eus/cs/Satellite/bilbobus/es/linea?codLinea=34,,,11,1,1
16,Bilbobus,38,OTXARKOAGA - INTERMODAL,,3,https://www.bilbao.eus/cs/Satellite/bilbobus/es/linea?codLinea=38,,,12,1,1
