route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
51,19-60,29768_1,PT-Semana/Incorporación,,1,,512,1,0
51,19-60,29768_2,PT-Semana/Incorporación,,1,,512,1,0
51,19-60,29768_3,PT-Semana/Incorporación,,1,,512,1,0
24,19-60,29769_1,PT-Semana/Incorporación,,0,,527,1,0
24,19-60,29769_2,PT-Semana/Incorporación,,0,,527,1,0
24,19-60,29769_3,PT-Semana/Incorporación,,0,,527,1,0
25,19-60,29770_1,PT-Semana/Incorporación,,1,,531,1,0
25,19-60,29770_2,PT-Semana/Incorporación,,1,,531,1,0
25,19-60,29770_3,PT-Semana/Incorporación,,1,,531,1,0
13,19-60,29771_1,PT-Semana/Incorporación,,1,,560,1,0
13,19-60,29771_2,PT-Semana/Incorporación,,1,,560,1,0
13,19-60,29771_3,PT-Semana/Incorporación,,1,,560,1,0
26,19-60,29772_1,PT-Semana/Retirada,,1,,573,1,0
26,19-60,29772_2,PT-Semana/Retirada,,1,,573,1,0
26,19-60,29772_3,PT-Semana/Retirada,,1,,573,1,0
9,19-60,29773_1,PT-Semana/Incorporación,,0,,1663,1,0
9,19-60,29773_2,PT-Semana/Incorporación,,0,,1663,1,0
19,19-60,29774_1,PT-Semana/Incorporación,,1,,1659,1,0
19,19-60,29774_2,PT-Semana/Incorporación,,1,,1659,1,0
19,19-60,29774_3,PT-Semana/Incorporación,,1,,1659,1,0
39,19-60,29775_1,PT-Semana/Incorporación,,1,,1689,1,0
39,19-60,29775_2,PT-Semana/Incorporación,,1,,1689,1,0
28,19-60,29776_1,PT-Semana/Retirada,,1,,577,1,0
28,19-60,29776_2,PT-Semana/Retirada,,1,,577,1,0
29,19-60,29777_1,PT-Semana / (MOYUA),,0,,549,1,0
29,19-60,29777_2,PT-Semana / (MOYUA),,0,,549,1,0
29,19-60,29777_3,PT-Semana / (MOYUA),,0,,549,1,0
29,19-60,29777_4,PT-Semana / (MOYUA),,0,,549,1,0
29,19-60,29777_5,PT-Semana / (MOYUA),,0,,549,1,0
29,19-60,29777_6,PT-Semana / (MOYUA),,0,,549,1,0
29,19-60,29777_7,PT-Semana / (MOYUA),,0,,549,1,0
29,19-60,29777_8,PT-Semana / (MOYUA),,0,,549,1,0
29,19-60,29777_9,PT-Semana / (MOYUA),,0,,549,1,0
29,19-60,29777_10,PT-Semana / (MOYUA),,0,,549,1,0
29,19-60,29777_11,PT-Semana / (MOYUA),,0,,549,1,0
29,19-60,29777_12,PT-Semana / (MOYUA),,0,,549,1,0
29,19-60,29777_13,PT-Semana / (MOYUA),,0,,549,1,0
29,19-60,29777_14,PT-Semana / (MOYUA),,0,,549,1,0
29,19-60,29777_15,PT-Semana / (MOYUA),,0,,549,1,0
29,19-60,29777_16,PT-Semana / (MOYUA),,0,,549,1,0
29,19-60,29777_17,PT-Semana / (MOYUA),,0,,549,1,0
29,19-60,29777_18,PT-Semana / (MOYUA),,0,,549,1,0
29,19-60,29777_19,PT-Semana / (MOYUA),,0,,549,1,0
29,19-60,29777_20,PT-Semana / (MOYUA),,0,,549,1,0
29,19-60,29777_21,PT-Semana / (MOYUA),,0,,549,1,0
29,19-60,29777_22,PT-Semana / (MOYUA),,0,,549,1,0
29,19-60,29777_23,PT-Semana / (MOYUA),,0,,549,1,0
51,19-60,29778_1,PT-Semana/Retirada,,0,,513,1,0
51,19-60,29778_2,PT-Semana/Retirada,,0,,513,1,0
51,19-60,29778_3,PT-Semana/Retirada,,0,,513,1,0
51,19-60,29778_4,PT-Semana/Retirada,,0,,513,1,0
32,19-60,29779_1,PT-Semana / (KASTREXANA),,1,,96,1,0
32,19-60,29779_2,PT-Semana / (KASTREXANA),,1,,96,1,0
32,19-60,29779_3,PT-Semana / (KASTREXANA),,1,,96,1,0
32,19-60,29779_4,PT-Semana / (KASTREXANA),,1,,96,1,0
32,19-60,29779_5,PT-Semana / (KASTREXANA),,1,,96,1,0
32,19-60,29779_6,PT-Semana / (KASTREXANA),,1,,96,1,0
32,19-60,29779_7,PT-Semana / (KASTREXANA),,1,,96,1,0
32,19-60,29779_8,PT-Semana / (KASTREXANA),,1,,96,1,0
